t,Produto,Investimento,Salario,Consumo,Arrecadacao,CapitalHumano,GastoEduc,Emprego
33,-0.24380502855243513,-0.2611306724225715,-0.2023251858821573,-0.18980124036496182,-0.24380502855243513,-0.22278551651310208,-1.000000000000012,-0.04156393698304672
34,-0.2474208399468325,-0.2641040716226062,-0.20624620505020896,-0.19381441044976633,-0.2474208399468214,-0.22591633547105472,-1.000000000000012,-0.04125973152713236
35,-0.2508947530491801,-0.2669534313241906,-0.21001475250040924,-0.19767191639842308,-0.2508947530491801,-0.22892192167069947,-1.000000000000012,-0.04096603526635434
36,-0.2542320203033577,-0.26968450361269936,-0.21363625038415268,-0.20137923160186144,-0.2542320203033577,-0.23180728442235843,-1.000000000000012,-0.04068268287746868
37,-0.2574377496537883,-0.2723026880266377,-0.21711600879313897,-0.20494172718574788,-0.2574377496537772,-0.23457723266394614,-1.000000000000012,-0.04040947630278291
38,-0.2605169001637542,-0.2748130646328173,-0.22045921400267732,-0.20836465802726023,-0.26051690016374307,-0.23723638297586946,-1.000000000000012,-0.04014619214073312
39,-0.26347427938325785,-0.27722042283870874,-0.22367091970144637,-0.2116531521313081,-0.26347427938325785,-0.23978916727531718,-1.000000000000012,-0.03989258779986127
40,-0.2663145421524349,-0.27952928656893583,-0.22675604069748445,-0.2148122027976762,-0.2663145421524349,-0.24223984020278477,-1.000000000000012,-0.03964840661199176
41,-0.2690421905767626,-0.28174393633478845,-0.22971934867291877,-0.21784666310132872,-0.2690421905767626,-0.24459248621315766,-1.000000000000012,-0.0394133820684206
42,-0.2716615749536966,-0.2838684286453508,-0.23256546962654445,-0.22076124228306293,-0.2716615749536966,-0.2468510263831103,-1.000000000000012,-0.0391872413189609
43,-0.27417689546487267,-0.28590661314689125,-0.23529888270173993,-0.22356050371287184,-0.27417689546487267,-0.2490192249462675,-1.000000000000012,-0.03896970805078448
44,-0.27659220447920907,-0.28786214780600616,-0.23792392014577723,-0.2262488641412319,-0.27659220447920907,-0.25110069556689707,-1.000000000000012,-0.038760504846047095
45,-0.2789114093372458,-0.28973851241594906,-0.2404447681869426,-0.22883059400059524,-0.2789114093372347,-0.25309890736270324,-1.000000000000012,-0.03855935510229669
46,-0.2811382755086522,-0.29153902065898185,-0.2428654686509213,-0.23130981855631338,-0.2811382755086522,-0.2550171906866794,-1.000000000000012,-0.038365984586008484
47,-0.2832764300331303,-0.29326683092180117,-0.2451899211667996,-0.2336905197400596,-0.2832764300331303,-0.25685874267769027,-1.000000000000012,-0.03818012267905457
48,-0.28532936516942886,-0.2949249560298184,-0.247421885838206,-0.23597653852546197,-0.28532936516941776,-0.25862663258906515,-1.000000000000012,-0.038001503367501854
49,-0.2873004421911851,-0.2965162720480419,-0.24956498627468626,-0.23817157772870745,-0.2873004421911851,-0.2603238069039837,-1.000000000000012,-0.037829866016436675
50,-0.2891928952778344,-0.2980435262696868,-0.25162271289674853,-0.24027920513685075,-0.2891928952778233,-0.2619530942463033,-1.000000000000012,-0.03766495596508879
51,-0.291009835458933,-0.299509344491522,-0.2535984264428359,-0.2423028568823815,-0.291009835458933,-0.26351721009493234,-1.000000000000012,-0.03750652497325202
52,-0.2927542545770989,-0.300916237673754,-0.25549536161731945,-0.2442458409967152,-0.2927542545770878,-0.2650187613096211,-1.000000000000012,-0.03735433154423706
53,-0.2944290292416829,-0.3022666080498393,-0.2573166308320052,-0.2461113410870408,-0.2944290292416718,-0.26646025047571964,-1.000000000000012,-0.03720814114487325
54,-0.2960369247504091,-0.3035627547614883,-0.2590652279984451,-0.24790242008999597,-0.2960369247504091,-0.2678440800751747,-1.000000000000012,-0.037067726341744045
55,-0.2975805989604341,-0.304806879064623,-0.26074403233939947,-0.24962202406488831,-0.297580598960423,-0.26917255649064886,-1.000000000000012,-0.03693286686737851
56,-0.2990626060948798,-0.30600108916332136,-0.2623558121913949,-0.2512729859952323,-0.2990626060948687,-0.2704478938495014,-1.000000000000012,-0.03680334963033216
57,-0.3004854004731272,-0.3071474047073641,-0.2639032287770182,-0.25285802957352166,-0.3004854004731161,-0.27167221771400296,-1.000000000000012,-0.036678968678749424
58,-0.301851340156023,-0.3082477609857026,-0.2653888399287485,-0.25437977294898717,-0.301851340156023,-0.272847568623924,-1.000000000000012,-0.036559525126911296
59,-0.30316269049989186,-0.30930401285723663,-0.2668151037509836,-0.2558407324221412,-0.30316269049989186,-0.27397590549744777,-1.000000000000012,-0.036444827052029005
60,-0.30442162761397107,-0.31031793843541156,-0.26818438220862495,-0.25724332607305334,-0.30442162761395997,-0.27505910889603635,-1.000000000000012,-0.03633468936756756
61,-0.3056302417187906,-0.31129124255103724,-0.2694989446345053,-0.2585898773136308,-0.3056302417187906,-0.2760989841586792,-1.000000000000012,-0.03622893367820623
62,-0.30679054040250175,-0.3122255600196966,-0.2707609711486314,-0.25988261835615534,-0.30679054040250175,-0.2770972644108083,-1.000000000000012,-0.03612738812081018
63,-0.3079044517752205,-0.31312245872405775,-0.2719725559850672,-0.26112369359228005,-0.3079044517752205,-0.27805561345285446,-1.000000000000012,-0.03602988719528799
64,-0.3089738275201537,-0.3139834425281651,-0.27313571072323795,-0.26231516287853474,-0.3089738275201537,-0.2789756285332179,-1.000000000000012,-0.03593627158773316
65,-0.31000044584266195,-0.31480995404317147,-0.27425236742125714,-0.26345900472570793,-0.31000044584266195,-0.2798588430103721,-1.000000000000012,-0.035846387989102446
66,-0.3109860143182819,-0.31560337724363396,-0.2753243816513429,-0.26455711939032955,-0.3109860143182708,-0.28070672890844195,-1.000000000000012,-0.0357600889106191
67,-0.31193217264049444,-0.3163650399605311,-0.2763535354355584,-0.2656113318675879,-0.31193217264049444,-0.28152069937058544,-1.000000000000012,-0.03567723249831012
68,-0.3128404952710606,-0.3170962162460267,-0.27734154008395295,-0.26662339478589203,-0.3128404952710495,-0.2823021110142432,-1.000000000000012,-0.03559768234755456
69,-0.3137124939939451,-0.31779812862871015,-0.2782900389348697,-0.2675949912035458,-0.3137124939939451,-0.28305226619215196,-1.000000000000012,-0.03552130731905301
70,-0.31454962037614775,-0.3184719502622446,-0.2792006099993194,-0.26852773730871027,-0.31454962037613665,-0.2837724151629528,-1.000000000000012,-0.03544798135701743
71,-0.31535326813676434,-0.31911880697204076,-0.2800747685113292,-0.2694231850241646,-0.31535326813676434,-0.2844637581749132,-1.000000000000012,-0.0353775833100034
