t,Produto,Investimento,Salario,Consumo,Arrecadacao,CapitalHumano,GastoEduc,Emprego
29,-0.055581697650752826,-0.055270727783784945,-0.056069718657281165,-0.0562170660940553,-0.055581697650741724,-0.051763642793956066,-0.04709019605767528,0.0004882947920448188
30,-0.054233147980253804,-0.053286776453864704,-0.055012098453199876,-0.055247285779258526,-0.054233147980253804,-0.050258272594183584,-0.04238217449321624,0.0007793792258237175
31,-0.05285774965214651,-0.0513470620367551,-0.05388894275167866,-0.054200289308559135,-0.05285774965214651,-0.04875660324490383,-0.038144765481451515,0.0010317490982014732
32,-0.05146362119050618,-0.049455251661789656,-0.05271200374638019,-0.053088925983968416,-0.05146362119050618,-0.04726413742507374,-0.0343309437853212,0.0012490409503795874
33,-0.05005801206612315,-0.04761402424051653,-0.051491906441614166,-0.05192483997941144,-0.050058012066112045,-0.04578559276491312,-0.030898379849730873,0.0014346330954095876
34,-0.04864736710419315,-0.04582524025474877,-0.05023821982224064,-0.050718543552608075,-0.04864736710418205,-0.04432498971734811,-0.027808971532872206,0.0015916523358416867
35,-0.04723738918612774,-0.04409008458818864,-0.048959528702685606,-0.04947949165556853,-0.04723738918612774,-0.042885730272412825,-0.025028422417583407,0.0017229830809428748
36,-0.04583309963315241,-0.04240918660708415,-0.047663504925365974,-0.04821615639845067,-0.04583309963315241,-0.04147066844398806,-0.022525862091560267,0.0018312781435714243
37,-0.04443889584490046,-0.04078272102855385,-0.046356976910522096,-0.04693610019586014,-0.04443889584488936,-0.04008217336545217,-0.02027350423777774,0.0019189706423894393
38,-0.04305860591082844,-0.03921049258580611,-0.045045996824599754,-0.045646046726499634,-0.04305860591082844,-0.03872218574630937,-0.01824633878448889,0.0019882865572640185
39,-0.04169554002990683,-0.03769200701327913,-0.043735904849806495,-0.044351949082233055,-0.04169554002989573,-0.03739226836634302,-0.016421854734072205,0.0020412575823636203
40,-0.04035253866416788,-0.036226530496852316,-0.042431390206598696,-0.04305905467634208,-0.04035253866415678,-0.03609365121599595,-0.014779790622754252,0.0020797340024802935
41,-0.03903201742113671,-0.03481313939569519,-0.04113654871784611,-0.04177196663656124,-0.03903201742113671,-0.03482727183017342,-0.013301909864793515,0.0021053973845219787
42,-0.037736008714239766,-0.033450761762532366,-0.039854936807970365,-0.04049470152961421,-0.037736008714239766,-0.033593811307419674,-0.011971798505561182,0.0021197729278776833
43,-0.036466200289897444,-0.03213821194996136,-0.03858962191358728,-0.03923074335986376,-0.036466200289897444,-0.03239372645720273,-0.010774683153624842,0.0021242413603905774
44,-0.03522397073841832,-0.03087421939700352,-0.03734322934466627,-0.03798309385742993,-0.03522397073841832,-0.031227278473000553,-0.009697267082542371,0.0021200503014684458
45,-0.03401042212604066,-0.029657452510001292,-0.036117985682282416,-0.0367543191264974,-0.03401042212602956,-0.03009455848884679,-0.008727582692424907,0.0021083250407727405
46,-0.032826409898867315,-0.0284865384184263,-0.034915758834086486,-0.03554659276558958,-0.032826409898867315,-0.028995510340934505,-0.007854858701095147,0.002090078702043918
47,-0.03167257021643444,-0.02736007926277262,-0.03373809489187751,-0.034361735601062815,-0.03167257021643444,-0.02792995082318006,-0.007069400596249054,0.0020662217792954962
48,-0.03054934487626282,-0.026276665559032963,-0.03258625195327047,-0.03320125219467007,-0.03054934487626282,-0.026897587696506076,-0.006362483026600696,0.0020375710450437623
49,-0.029457003990573938,-0.02523488712334876,-0.031461231077611895,-0.03206636429958776,-0.029457003990562836,-0.02589803568523452,-0.005726252940896348,0.002004857839987828
50,-0.028395666573721723,-0.024233341933366237,-0.030363804552602236,-0.030958041445305895,-0.028395666573721723,-0.024930830670344406,-0.005153642402611069,0.001968735761948004
51,-0.027365319194505577,-0.023270643270478786,-0.029294541647539862,-0.029877028834968122,-0.027365319194505577,-0.02399544226791006,-0.004638290114589161,0.001929787775512004
52,-0.02636583284157945,-0.02234542542158824,-0.02825383202782472,-0.028823872737271383,-0.02636583284156835,-0.023091284962173386,-0.0041744707844793005,0.0018885327691231524
53,-0.02539697814338826,-0.02145634817325437,-0.027241907000752352,-0.027798943551593513,-0.02539697814338826,-0.02221772794501753,-0.0037570315479351635,0.0018454315880989114
54,-0.02445843907690204,-0.020602100301148063,-0.02625885875630063,-0.026802456719110523,-0.02445843907690204,-0.021374103798654787,-0.0033813347451228104,0.0018008925732448944
55,-0.023549825291380166,-0.01978140222236302,-0.025304657760250038,-0.025834491646203883,-0.023549825291380166,-0.020559716143875306,-0.0030432064156982186,0.0017552766356176974
56,-0.02267068316557097,-0.018993007950984797,-0.02437916844745258,-0.02489500879809814,-0.02267068316555987,-0.019773846364079528,-0.0027388899416780355,0.0017089018979454806
57,-0.021820505709368998,-0.018235706475555613,-0.02348216335738007,-0.02398386511205386,-0.021820505709357896,-0.019015759503882013,-0.002465004323226605,0.0016620479327933424
58,-0.020998741412148192,-0.01750832266372848,-0.02261333584219205,-0.023100827871358476,-0.020998741412148192,-0.018284709430815838,-0.0022185066252400354,0.0016149596262726718
59,-0.020204802133949595,-0.01680971777112683,-0.021772311472056938,-0.022245587171387804,-0.020204802133949595,-0.01757994333980717,-0.0019966581775276993,0.0015678506954275306
60,-0.019438070126898133,-0.016138789627395678,-0.020958658251857276,-0.02141776710100629,-0.019438070126898133,-0.016900705671796246,-0.0017969941537687717,0.0015209068866317565
61,-0.01869790426893836,-0.015494472566757178,-0.020171895755916047,-0.02061693575335921,-0.01869790426893836,-0.016246241510398107,-0.0016172961915583706,0.0014742888789776032
62,-0.017983645583752317,-0.014875737138431155,-0.019411503279598286,-0.019842614171916573,-0.017983645583752317,-0.015615799514145934,-0.0014555677494421104,0.0014281349182798664
63,-0.01729462211647048,-0.014281589652431759,-0.018676927098515428,-0.019094284329612687,-0.01729462211647048,-0.015008634435564883,-0.0013100119278908195,0.0013825632023456436
64,-0.016630153226870892,-0.013711071587274581,-0.017967586919653833,-0.018371396230909554,-0.01663015322685979,-0.014424009273361627,-0.0011790115073684326,0.0013376740405135479
65,-0.015989553358575215,-0.01316325889270109,-0.0172828816002335,-0.01767337422008408,-0.015989553358575215,-0.01386119709889666,-0.0010611109821700992,0.0012935518046708339
66,-0.015372135335922632,-0.01263726120853681,-0.01662219420625055,-0.016999622570856854,-0.015372135335922632,-0.013319482594020826,-0.0009550003906344529,0.0012502666920877203
67,-0.014777213236838449,-0.012132221026972534,-0.01598489647361978,-0.016349530427983705,-0.014777213236838449,-0.01279816333324968,-0.0008595007619960349,0.001207876314546219
68,-0.014204104884385504,-0.011647312801577048,-0.015370352732702042,-0.01572247616355993,-0.014204104884374402,-0.012296550840096288,-0.0007735510182182992,0.0011664271322819886
69,-0.01365213399776577,-0.011181742034438447,-0.014777923347919497,-0.015117831206201693,-0.013652133997754667,-0.011813971443852544,-0.0006961961856788434,0.0011259557430420841
70,-0.013120632037211255,-0.01073474433891386,-0.014206967722951713,-0.014534963396617417,-0.013120632037211255,-0.01134976696068879,-0.0006265767852120518,0.0010864900430229696
71,-0.012608939776470596,-0.010305584491787645,-0.013656846915455212,-0.013973239916731384,-0.012608939776470596,-0.010903295220177078,-0.0005639192833695184,0.0010480502695919824
72,-0.012116408631424047,-0.00989355548844939,-0.013126925901507658,-0.013432029836801807,-0.012116408631424047,-0.010473930456122993,-0.0005075274981169997,0.0010106499373607747
73,-0.011642401772282707,-0.00949797759625115,-0.012616575526869234,-0.01291070632006841,-0.011642401772271604,-0.010061063578681306,-0.0004567748642325675,0.0009742966774473061
74,-0.01118629504236468,-0.009118197420343588,-0.012125174177868292,-0.012408648520645382,-0.011186295042353578,-0.009664102342665792,-0.0004110974716975413,0.0009389929900294192
75,-0.01074747770648532,-0.008753586980758676,-0.011652109202431316,-0.011925243207755454,-0.01074747770648532,-0.009282471425731131,-0.00036998780056363145,0.0009047369168735386
